Group,Comments,"Parameter (per‑(s,m))",Defense_Silicon_Carbide_Fiber,Defense_Silicon_Nitride_Fiber,Defense_UHT,Nuclear_Silicon_Carbide_Fiber,Nuclear_AUF,Semiconductors_Silicon_Carbide_Powder,Aviation_Silicon_Carbide_Fiber,Aviation_Silicon_Nitride_Fiber,Aviation_B4C_Fiber,,,,,,,,,,,,,,
Market Activation,The total number of anchor clients for a material sector combination. ,ATAM,6,3,4,6,4,5,3,3,2,,,,,,,,,,,,,,
Market Activation,The year the market is activated for a particular sector material combination. ,anchor_start_year,2025,2027,2025,2025,2028,2025,2026,2027,2030,,,,,,,,,,,,,,
Market Activation,"The rate of generating leads per quarter for anchor clients for the sector material combination, where each sector material may draw from a common client name. We do not divide between particular clients, but only by client numbers. ",anchor_lead_generation_rate,0.5,0.25,0.5,0.5,0.25,0.75,0.5,0.25,0.25,,,,,,,,,,,,,,
Market Activation,A bracket conversion rate to show how many potential clients we believe we can get from a particular set of leads for the sector material combination. ,lead_to_pc_conversion_rate,4/6,2/3,3/4,4/6,2/4,4/5,2/3,1/3,1/3,,,,,,,,,,,,,,
Market Activation,The rate per quarter of generating projects from a potential client. ,project_generation_rate,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,
Market Activation,The number of quarters that the average project lasts once started by a particular anchor client. ,project_duration,4,8,4,6,10,2,4,8,12,,,,,,,,,,,,,,
Market Activation,The number of projects it takes for a potential client to become a client that will then start placing commercial orders. ,projects_to_client_conversion,4,4,4,4,4,2,3,4,4,,,,,,,,,,,,,,
Market Activation,"The maximum number of projects a potential client generates. This is meant only as a binary on-off switch for a sector material combination, since it is assumed that the project conversion number will be lower than the maximum projects. ",max_projects_per_pc,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,
Market Activation,The number of quarters before which an active client starts placing a commercial order after it becomes an active client. ,anchor_client_activation_delay,4,4,4,4,4,2,4,4,4,,,,,,,,,,,,,,
Orders ,The number of quarters of the initial testing phase. ,initial_phase_duration,3,3,4,6,8,2,3,4,6,,,,,,,,,,,,,,
Orders ,The starting rate of kilograms ordered per quarter per client for each sector material combination. ,initial_requirement_rate,20,10,5,25,25,50,10,5,2,,,,,,,,,,,,,,
Orders ,Percentage growth of orders per quarter in the initial testing phase. ,initial_req_growth,10,10,10,20,5,25,10,10,5,,,,,,,,,,,,,,
Orders ,The number of quarters during which requirement may grow at a significant rate. ,ramp_phase_duration,6,4,4,4,8,3,4,4,6,,,,,,,,,,,,,,
Orders ,The starting rate of order of kgs per quarter for each sector material combination during the ramp-up phase. ,ramp_requirement_rate,40,25,10,75,50,150,25,15,10,,,,,,,,,,,,,,
Orders ,Percentage growth of rate of order per kg per material during the ramp-up phase. ,ramp_req_growth,33,33,40,50,30,50,33,33,10,,,,,,,,,,,,,,
Orders ,The starting rate of order of kilograms per material per quarter for each sector-material pair when the client enters a steady order phase that is assumed to grow in perpetuity. ,steady_requirement_rate,60,35,20,125,75,250,50,25,15,,,,,,,,,,,,,,
Orders ,The percentage rate of growth of orders per quarter in the steady state. ,steady_req_growth,33,25,25,33,20,50,25,25,10,,,,,,,,,,,,,,
Orders ,The number of quarters between receiving a requirement and fulfilling the delivery for that requirement. ,requirement_to_order_lag,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
Seeds,The total number of projects that are already completed for a material sector combination. ,completed_projects_sm,4,0,1,2,0,0,0,0,0,,,,,,,,,,,,,,
Seeds,The total number of active clients already present in the material sector combination at time T0. ,active_anchor_clients_sm,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Seeds,The number of quarters that have elapsed since a client became active for the material sector combination at time T0. ,elapsed_quarters,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
