Output Stocks,2025Q1
Revenue,10000.0
Revenue Defense,10000.0
Revenue Nuclear,0.0
Revenue Semiconductors,0.0
Revenue Aviation,0.0
Revenue Silicon Carbide Fiber,10000.0
Revenue Silicon Carbide Powder,0.0
Revenue Silicon Nitride Fiber,0.0
Revenue UHT,0.0
Revenue Boron_fiber,0.0
Revenue B4C_Fiber,0.0
Revenue WC_Fiber,0.0
Anchor Leads,0.0
Anchor Leads Defense,0.0
Anchor Leads Nuclear,0.0
Anchor Leads Semiconductors,0.0
Anchor Leads Aviation,0.0
Active Projects,0.0
Active Projects Defense,0.0
Active Projects Nuclear,0.0
Active Projects Semiconductors,0.0
Active Projects Aviation,0.0
Anchor Clients,2.0
Anchor Clients Defense,2.0
Anchor Clients Nuclear,0.0
Anchor Clients Semiconductors,0.0
Anchor Clients Aviation,0.0
Other Leads,6.0
Other Clients,0.0
Other Clients Silicon Carbide Fiber,0.0
Other Clients Silicon Carbide Powder,0.0
Other Clients Silicon Nitride Fiber,0.0
Other Clients UHT,0.0
Other Clients Boron_fiber,0.0
Other Clients B4C_Fiber,0.0
Other Clients WC_Fiber,0.0
Order Basket,300.0
Order Basket Silicon Carbide Fiber,300.0
Order Basket Silicon Carbide Powder,0.0
Order Basket Silicon Nitride Fiber,0.0
Order Basket UHT,0.0
Order Basket Boron_fiber,0.0
Order Basket B4C_Fiber,0.0
Order Basket WC_Fiber,0.0
Order Delivery,1.25
Order Delivery Silicon Carbide Fiber,1.25
Order Delivery Silicon Carbide Powder,0.0
Order Delivery Silicon Nitride Fiber,0.0
Order Delivery UHT,0.0
Order Delivery Boron_fiber,0.0
Order Delivery B4C_Fiber,0.0
Order Delivery WC_Fiber,0.0
